iter	RMSE
0	0.8986297741
1	0.8848251352
2	0.8737648208
3	0.8604675634
4	0.8474987907
5	0.8369050557
6	0.824416611
7	0.8141114032
8	0.8039350105
9	0.7938858227
10	0.7839622498
11	0.7741627215
12	0.7644856873
13	0.7549296161
14	0.7460166012
15	0.7366913935
16	0.7280083549
17	0.7194424222
18	0.7104493918
19	0.7021047556
20	0.693328446
21	0.6846618403
22	0.6766345349
23	0.6681766031
24	0.6598243954
25	0.6515765903
26	0.6434318828
27	0.6353889842
28	0.6274466217
29	0.6196035389
30	0.6118584945
31	0.6042102632
32	0.5952027259
33	0.5882198283
34	0.5808670803
35	0.5736062417
36	0.5668887223
37	0.5598026132
38	0.5528050804
39	0.5458950168
40	0.539071329
41	0.5323329373
42	0.5256787755
43	0.5191077907
44	0.5126189432
45	0.5062112063
46	0.4998835662
47	0.4936350215
48	0.4874645836
49	0.4813712762
