iter	Passed	Remaining
0	57	5732
1	58	2843
2	58	1880
3	58	1398
4	58	1110
5	58	916
6	58	777
7	58	675
8	58	594
9	58	529
10	58	476
11	59	432
12	59	395
13	59	364
14	59	336
15	59	312
16	59	291
17	59	272
18	59	255
19	60	240
20	60	226
21	60	213
22	60	202
23	60	191
24	60	181
25	60	172
26	60	164
27	60	156
28	60	149
29	61	142
30	61	136
31	61	130
32	61	124
33	61	119
34	61	114
35	61	109
36	61	105
37	61	100
38	61	96
39	61	92
40	62	89
41	62	85
42	62	82
43	62	79
44	62	76
45	62	73
46	62	70
47	62	67
48	62	65
49	62	62
50	63	60
51	63	58
52	63	56
53	63	53
54	63	51
55	63	49
56	63	48
57	63	46
58	63	44
59	64	42
60	64	41
61	64	39
62	64	38
63	64	36
64	64	34
65	65	33
66	65	32
67	65	30
68	65	29
69	65	28
70	65	26
71	65	25
72	65	24
73	65	23
74	65	21
75	65	20
76	66	19
77	66	18
78	66	17
79	66	16
80	66	15
81	66	14
82	66	13
83	66	12
84	66	11
85	66	10
86	67	10
87	67	9
88	67	8
89	67	7
90	67	6
91	67	5
92	67	5
93	67	4
94	67	3
95	67	2
96	67	2
97	67	1
98	68	0
99	68	0
