district,transaction_date,sqft,price_aed,project_stage,lat,lng,distance_to_beach_km,drive_time_burj_khalifa_min,amenity_density_1km,has_waterfront_view,developer_tier,floor_level,service_charge_aed,supply_pressure_2y,momentum_3m,momentum_6m,momentum_12m,roi_pct,days_on_market,12_month_appreciation_pct
Jabal Ali First,2026-01-01,779.4212399999999,1099573.0,1,25.0256607,55.1142032,6.16,62,1,0,3,6,12.7,1677,4.0,7.423641842199836,10.36405226747034,7.86,54,10.9
Madinat Al Mataar,2026-01-02,1162.4043599999998,1832000.0,1,24.9170063,55.1057072,18.11,88,1,0,2,32,18.2,261,4.1,7.609232888254831,10.623153574157097,5.71,49,7.0
Al Khairan First,2026-01-02,1847.6406,4329888.0,1,25.06,55.2,7.09,42,5,0,1,49,19.2,1821,3.6,6.6812776579798525,9.327647040723306,7.89,77,9.3
Palm Jabal Ali,2026-01-06,836.14752,2853000.0,1,24.9876012,55.0220064,15.05,86,1,0,1,23,21.9,874,3.1,5.753322427704873,8.032140507289514,4.63,91,4.3
Palm Deira,2026-01-28,1106.10864,3040000.0,1,25.2761408,55.3016752,27.72,22,14,0,1,52,27.0,126,3.1,5.753322427704873,8.032140507289514,6.86,21,4.8
LIWAN,2026-01-29,754.1258399999999,1219777.0,1,25.1101209,55.3676993,23.95,33,9,0,2,15,29.9,1496,2.3,4.268594059264905,5.959330053795445,5.9,86,4.2
LIWAN,2026-01-29,753.80292,1219777.0,1,25.1101209,55.3676993,23.95,33,8,0,2,36,24.5,1496,2.3,4.268594059264905,5.959330053795445,5.9,86,4.2
HORIZON,2026-01-28,644.4406799999999,1372761.0,1,25.1220188,55.2292278,10.85,23,21,0,1,54,18.5,442,4.8,8.908370210639802,12.436862720964408,8.56,66,4.3
LIWAN,2026-01-29,419.5807199999999,698777.0,1,25.1101209,55.3676993,23.95,33,13,0,2,40,21.9,1496,2.3,4.268594059264905,5.959330053795445,5.9,86,4.2
Palm Deira,2026-01-28,855.6303599999999,2122738.76,1,25.2761408,55.3016752,27.72,22,17,0,1,40,18.8,126,3.1,5.753322427704873,8.032140507289514,6.86,21,4.8
HORIZON,2026-01-28,1243.8878399999999,2085341.0,1,25.1220188,55.2292278,10.85,23,19,0,2,28,27.5,442,4.8,8.908370210639802,12.436862720964408,8.56,66,4.3
TECOM SITE A,2026-01-28,465.32771999999994,1921000.0,1,25.06,55.2,7.09,42,11,0,1,38,28.9,1527,1.4,2.5982746447699423,3.627418293614619,5.74,39,4.2
Palm Deira,2026-01-28,1458.522,4147000.0,1,25.2761408,55.3016752,27.72,22,21,0,1,45,21.6,126,3.1,5.753322427704873,8.032140507289514,6.86,21,4.8
Jabal Ali First,2026-01-28,775.2232799999999,1090000.0,1,25.0256607,55.1142032,6.16,62,1,0,3,8,11.2,1677,4.0,7.423641842199836,10.36405226747034,7.86,54,10.9
INTERNATIONAL CITY PH 2 & 3,2026-01-28,958.42656,987975.91,1,25.06,55.2,7.09,42,5,0,3,4,10.3,1183,4.8,8.908370210639802,12.436862720964408,8.4,102,8.8
Palm Deira,2026-01-28,855.6303599999999,2292672.52,1,25.2761408,55.3016752,27.72,22,21,0,1,29,16.0,126,3.1,5.753322427704873,8.032140507289514,6.86,21,4.8
Palm Deira,2026-01-28,650.57616,1911000.0,1,25.2761408,55.3016752,27.72,22,20,0,1,50,19.4,126,3.1,5.753322427704873,8.032140507289514,6.86,21,4.8
Jabal Ali First,2026-01-28,412.2611999999999,639003.0,1,25.0256607,55.1142032,6.16,62,1,0,2,29,23.6,1677,4.0,7.423641842199836,10.36405226747034,7.86,54,10.9
INTERNATIONAL CITY PH 2 & 3,2026-01-28,404.61876,437193.66,1,25.06,55.2,7.09,42,6,0,3,14,10.1,1183,4.8,8.908370210639802,12.436862720964408,8.4,102,8.8
JUMEIRAH VILLAGE CIRCLE,2026-01-28,405.47988,811300.0,1,25.065,55.205,7.44,40,12,0,1,41,27.0,390,4.1,7.609232888254831,10.623153574157097,8.42,27,10.5
Jabal Ali First,2026-01-28,779.4212399999999,1090000.0,1,25.0256607,55.1142032,6.16,62,1,0,3,1,10.3,1677,4.0,7.423641842199836,10.36405226747034,7.86,54,10.9
Jabal Ali First,2026-01-28,1171.33848,1639862.0,1,25.0256607,55.1142032,6.16,62,1,0,3,6,14.2,1677,4.0,7.423641842199836,10.36405226747034,7.86,54,10.9
Palm Jabal Ali,2026-01-06,1237.96764,4263000.0,1,24.9876012,55.0220064,15.05,86,1,0,1,34,24.0,874,3.1,5.753322427704873,8.032140507289514,4.63,91,4.3
DUBAI LAND RESIDENCE COMPLEX,2026-01-28,411.93828,672000.0,1,25.0853591,55.382978,25.25,41,5,0,2,33,24.9,182,1.7,3.1550477829349304,4.404722213674894,4.89,27,5.8
Jabal Ali First,2026-01-28,422.70228000000003,676320.0,1,25.0256607,55.1142032,6.16,62,3,0,2,37,28.6,1677,4.0,7.423641842199836,10.36405226747034,7.86,54,10.9
Hadaeq Sheikh Mohammed Bin Rashid,2026-01-29,1146.9042,2796888.0,1,25.121173,55.2704737,14.67,21,21,0,1,49,19.9,920,1.0,1.855910460549959,2.591013066867585,4.75,61,6.2
Hadaeq Sheikh Mohammed Bin Rashid,2026-01-29,680.9306399999999,1727888.0,1,25.121173,55.2704737,14.67,21,18,0,1,27,16.5,920,1.0,1.855910460549959,2.591013066867585,4.75,61,6.2
Hadaeq Sheikh Mohammed Bin Rashid,2026-01-29,1419.2333999999998,3306888.0,1,25.121173,55.2704737,14.67,21,16,0,1,40,20.8,920,1.0,1.855910460549959,2.591013066867585,4.75,61,6.2
Hadaeq Sheikh Mohammed Bin Rashid,2026-01-29,680.9306399999999,1803732.0,1,25.121173,55.2704737,14.67,21,17,0,1,55,22.1,920,1.0,1.855910460549959,2.591013066867585,4.75,61,6.2
Hadaeq Sheikh Mohammed Bin Rashid,2026-01-29,1061.54568,2665888.0,1,25.121173,55.2704737,14.67,21,23,0,1,33,24.1,920,1.0,1.855910460549959,2.591013066867585,4.75,61,6.2
Hadaeq Sheikh Mohammed Bin Rashid,2026-01-29,1520.1997199999998,3344888.0,1,25.121173,55.2704737,14.67,21,16,0,1,25,16.1,920,1.0,1.855910460549959,2.591013066867585,4.75,61,6.2
Hadaeq Sheikh Mohammed Bin Rashid,2026-01-29,1882.0854,4956888.0,1,25.121173,55.2704737,14.67,21,23,0,1,40,17.9,920,1.0,1.855910460549959,2.591013066867585,4.75,61,6.2
Hadaeq Sheikh Mohammed Bin Rashid,2026-01-06,680.9306399999999,1825888.0,1,25.121173,55.2704737,14.67,21,17,0,1,52,22.2,920,1.0,1.855910460549959,2.591013066867585,4.75,61,6.2
Al Yelayiss 2,2026-01-29,976.94064,1285888.0,1,25.06,55.2,7.09,42,7,0,3,1,12.5,1205,2.7,5.01095824348489,6.99573528054248,8.57,14,10.3
Hadaeq Sheikh Mohammed Bin Rashid,2026-01-29,1061.54568,2685888.0,1,25.121173,55.2704737,14.67,21,20,0,1,20,21.7,920,1.0,1.855910460549959,2.591013066867585,4.75,61,6.2
Al Khairan First,2026-01-29,1086.5181599999999,2443888.0,1,25.06,55.2,7.09,42,13,0,1,54,20.2,1821,3.6,6.6812776579798525,9.327647040723306,7.89,77,9.3
DUBAI LAND RESIDENCE COMPLEX,2026-01-29,733.78188,1016260.0,1,25.0853591,55.382978,25.25,41,6,0,3,12,14.0,182,1.7,3.1550477829349304,4.404722213674894,4.89,27,5.8
DUBAI LAND RESIDENCE COMPLEX,2026-01-29,372.21912,676000.0,1,25.0853591,55.382978,25.25,41,9,0,2,23,23.3,182,1.7,3.1550477829349304,4.404722213674894,4.89,27,5.8
DUBAI SCIENCE PARK,2026-01-29,486.85571999999996,794430.0,1,25.0735423,55.2412462,10.96,35,13,0,2,27,24.7,1318,1.5,2.7838656908249386,3.8865196003013773,4.65,96,4.0
BUSINESS BAY,2026-01-29,971.23572,2285000.0,1,25.185,55.265,17.79,4,32,0,1,44,15.7,594,3.8,7.052459750089844,9.845849654096822,5.92,85,6.1
TECOM SITE A,2026-01-29,558.22104,2162000.0,1,25.06,55.2,7.09,42,5,0,1,34,15.5,1527,1.4,2.5982746447699423,3.627418293614619,5.74,39,4.2
DUBAI LAND RESIDENCE COMPLEX,2026-01-29,666.9374399999999,1036000.0,1,25.0853591,55.382978,25.25,41,5,0,2,53,18.2,182,1.7,3.1550477829349304,4.404722213674894,4.89,27,5.8
DUBAI MARITIME CITY,2026-01-29,394.82352,1389000.0,1,25.2496256,55.276165,23.83,14,23,0,1,55,23.5,994,2.6,4.825367197429894,6.736633973855722,7.9,87,6.9
BUSINESS BAY,2026-01-29,824.8453199999999,3146888.0,1,25.185,55.265,17.79,4,27,0,1,22,26.2,594,3.8,7.052459750089844,9.845849654096822,5.92,85,6.1
DUBAI SOUTH,2026-01-29,463.82076,565269.65,1,24.9144391,55.1615128,18.41,83,1,0,3,8,13.7,838,2.9,5.382140335594881,7.513937893915997,8.51,29,7.7
DUBAI SOUTH,2026-01-29,728.3998799999999,1001906.0,1,24.9144391,55.1615128,18.41,83,1,0,3,2,13.8,838,2.9,5.382140335594881,7.513937893915997,8.51,29,7.7
BUSINESS BAY,2026-01-29,1218.7000799999998,3478860.0,1,25.185,55.265,17.79,4,28,0,1,51,20.5,594,3.8,7.052459750089844,9.845849654096822,5.92,85,6.1
DUBAI LAND RESIDENCE COMPLEX,2026-01-29,418.07376,776000.0,1,25.0853591,55.382978,25.25,41,9,0,2,15,24.6,182,1.7,3.1550477829349304,4.404722213674894,4.89,27,5.8
DUBAI SOUTH,2026-01-29,729.04572,1018104.0,1,24.9144391,55.1615128,18.41,83,1,0,3,9,11.9,838,2.9,5.382140335594881,7.513937893915997,8.51,29,7.7
DUBAI SOUTH,2026-01-29,747.5598,766092.8,1,24.9144391,55.1615128,18.41,83,1,0,3,4,11.1,838,2.9,5.382140335594881,7.513937893915997,8.51,29,7.7
BUSINESS PARK,2026-01-29,611.82576,2467000.0,1,25.048462,55.2349614,10.84,42,12,0,1,43,19.9,671,2.4,4.454185105319901,6.218431360482204,7.1,85,12.8
DUBAI LAND RESIDENCE COMPLEX,2026-01-29,399.02148,744000.0,1,25.0853591,55.382978,25.25,41,11,0,2,53,25.0,182,1.7,3.1550477829349304,4.404722213674894,4.89,27,5.8
DUBAI SOUTH,2026-01-29,855.1998,935436.06,1,24.9144391,55.1615128,18.41,83,1,0,3,7,12.9,838,2.9,5.382140335594881,7.513937893915997,8.51,29,7.7
DUBAI SOUTH,2026-01-29,728.61516,821078.39,1,24.9144391,55.1615128,18.41,83,1,0,3,3,12.5,838,2.9,5.382140335594881,7.513937893915997,8.51,29,7.7
